//3	4	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
0	4.76e-16
1.00e-03	4.76e-16
0.002	4.76e-16
0.003	4.76e-16
0.004	4.76e-16
0.005	4.88e-16
0.006	4.88e-16
0.007	4.88e-16
0.008	4.88e-16
0.009	4.88e-16
0.01	4.88e-16
0.015	4.84e-16
0.02	4.84e-16
0.03	4.79e-16
0.04	4.75e-16
0.05	4.75e-16
0.06	4.67e-16
0.07	4.67e-16
0.08	4.62e-16
0.09	4.57e-16
0.1	4.57e-16
0.15	4.40e-16
0.2	4.29e-16
0.3	4.02e-16
0.4	3.87e-16
0.5	3.69e-16
0.6	3.56e-16
0.7	3.46e-16
0.8	3.39e-16
0.9	3.37e-16
1	3.31e-16
1.5	3.43e-16
2	3.76e-16
3	5.11e-16
4	7.26e-16
5	1.02e-15
6	1.42e-15
7	1.79e-15
8	2.08e-15
9	2.13e-15
10	2.22e-15
11.5	2.32e-15
 
