//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
0	5.64E-16
0.01	5.64E-16
0.02	5.64E-16
0.03	5.64E-16
0.04	5.64E-16
0.05	5.64E-16
0.06	5.64E-16
0.07	5.64E-16
0.08	5.64E-16
0.09	5.64E-16
0.1	5.64E-16
0.11	5.64E-16
0.12	5.64E-16
0.13	5.64E-16
0.14	5.64E-16
0.15	5.64E-16
0.16	5.64E-16
0.17	5.64E-16
0.18	5.64E-16
0.19	5.64E-16
0.2	5.64E-16
0.21	5.64E-16
0.22	5.64E-16
0.23	5.64E-16
0.24	5.64E-16
0.25	5.64E-16
0.26	5.64E-16
0.27	5.64E-16
0.28	5.64E-16
0.29	5.64E-16
0.3	5.64E-16
0.31	5.64E-16
0.32	5.64E-16
0.33	5.64E-16
0.34	5.64E-16
0.35	5.64E-16
0.36	5.64E-16
0.37	5.64E-16
0.38	5.64E-16
0.39	5.64E-16
0.4	5.64E-16
0.41	5.64E-16
0.42	5.64E-16
0.43	5.64E-16
0.44	5.64E-16
0.45	5.64E-16
0.46	5.64E-16
0.47	5.64E-16
0.48	5.64E-16
0.49	5.64E-16
0.5	5.64E-16
0.51	5.64E-16
0.52	5.64E-16
0.53	5.64E-16
0.54	5.64E-16
0.55	5.64E-16
0.56	5.64E-16
0.57	5.64E-16
0.58	5.64E-16
0.59	5.64E-16
0.6	5.64E-16
0.61	5.64E-16
0.62	5.64E-16
0.63	5.64E-16
0.64	5.64E-16
0.65	5.64E-16
0.66	5.64E-16
0.67	5.64E-16
0.68	5.64E-16
0.69	5.64E-16
0.7	5.64E-16
0.71	5.64E-16
0.72	5.64E-16
0.73	5.64E-16
0.74	5.64E-16
0.75	5.64E-16
0.76	5.64E-16
0.77	5.64E-16
0.78	5.64E-16
0.79	5.64E-16
0.8	5.64E-16
0.81	5.64E-16
0.82	5.64E-16
0.83	5.64E-16
0.84	5.64E-16
0.85	5.64E-16
0.86	5.64E-16
0.87	5.64E-16
0.88	5.64E-16
0.89	5.64E-16
0.9	5.64E-16
0.91	5.64E-16
0.92	5.64E-16
0.93	5.64E-16
0.94	5.64E-16
0.95	5.64E-16
0.96	5.64E-16
0.97	5.64E-16
0.98	5.64E-16
0.99	5.64E-16
1	5.64E-16
1.01	5.64E-16
1.02	5.64E-16
1.03	5.64E-16
1.04	5.64E-16
1.05	5.64E-16
1.06	5.64E-16
1.07	5.64E-16
1.08	5.64E-16
1.09	5.64E-16
1.1	5.64E-16
1.11	5.64E-16
1.12	5.64E-16
1.13	5.64E-16
1.14	5.64E-16
1.15	5.64E-16
1.16	5.64E-16
1.17	5.64E-16
1.18	5.64E-16
1.19	5.64E-16
1.2	5.64E-16
1.21	5.64E-16
1.22	5.64E-16
1.23	5.64E-16
1.24	5.64E-16
1.25	5.64E-16
1.26	5.64E-16
1.27	5.64E-16
1.28	5.64E-16
1.29	5.64E-16
1.3	5.64E-16
1.31	5.64E-16
1.32	5.64E-16
1.33	5.64E-16
1.34	5.64E-16
1.35	5.64E-16
1.36	5.64E-16
1.37	5.64E-16
1.38	5.64E-16
1.39	5.64E-16
1.4	5.64E-16
1.41	5.64E-16
1.42	5.64E-16
1.43	5.64E-16
1.44	5.64E-16
1.45	5.64E-16
1.46	5.64E-16
1.47	5.64E-16
1.48	5.64E-16
1.49	5.64E-16
1.5	5.64E-16
1.51	5.64E-16
1.52	5.64E-16
1.53	5.64E-16
1.54	5.64E-16
1.55	5.64E-16
1.56	5.64E-16
1.57	5.64E-16
1.58	5.64E-16
1.59	5.64E-16
1.6	5.64E-16
1.61	5.64E-16
1.62	5.64E-16
1.63	5.64E-16
1.64	5.64E-16
1.65	5.64E-16
1.66	5.64E-16
1.67	5.64E-16
1.68	5.64E-16
1.69	5.64E-16
1.7	5.64E-16
1.71	5.63E-16
1.72	5.63E-16
1.73	5.63E-16
1.74	5.63E-16
1.75	5.63E-16
1.76	5.63E-16
1.77	5.63E-16
1.78	5.63E-16
1.79	5.63E-16
1.8	5.63E-16
1.81	5.63E-16
1.82	5.63E-16
1.83	5.63E-16
1.84	5.63E-16
1.85	5.63E-16
1.86	5.63E-16
1.87	5.63E-16
1.88	5.63E-16
1.89	5.63E-16
1.9	5.63E-16
1.91	5.64E-16
1.92	5.64E-16
1.93	5.64E-16
1.94	5.64E-16
1.95	5.64E-16
1.96	5.64E-16
1.97	5.64E-16
1.98	5.64E-16
1.99	5.64E-16
2	5.64E-16
2.01	5.64E-16
2.02	5.64E-16
2.03	5.64E-16
2.04	5.64E-16
2.05	5.64E-16
2.06	5.65E-16
2.07	5.65E-16
2.08	5.65E-16
2.09	5.65E-16
2.1	5.65E-16
2.11	5.65E-16
2.12	5.65E-16
2.13	5.65E-16
2.14	5.65E-16
2.15	5.66E-16
2.16	5.66E-16
2.17	5.66E-16
2.18	5.66E-16
2.19	5.66E-16
2.2	5.66E-16
2.21	5.66E-16
2.22	5.67E-16
2.23	5.67E-16
2.24	5.67E-16
2.25	5.67E-16
2.26	5.67E-16
2.27	5.67E-16
2.28	5.67E-16
2.29	5.68E-16
2.3	5.68E-16
2.31	5.68E-16
2.32	5.68E-16
2.33	5.68E-16
2.34	5.68E-16
2.35	5.68E-16
2.36	5.68E-16
2.37	5.69E-16
2.38	5.69E-16
2.39	5.69E-16
2.4	5.69E-16
2.41	5.69E-16
2.42	5.69E-16
2.43	5.69E-16
2.44	5.69E-16
2.45	5.70E-16
2.46	5.70E-16
2.47	5.70E-16
2.48	5.70E-16
2.49	5.70E-16
2.5	5.70E-16
2.51	5.70E-16
2.52	5.70E-16
2.53	5.70E-16
2.54	5.70E-16
2.55	5.70E-16
2.56	5.70E-16
2.57	5.70E-16
2.58	5.71E-16
2.59	5.71E-16
2.6	5.71E-16
2.61	5.71E-16
2.62	5.71E-16
2.63	5.71E-16
