//1	2	1	1	0	0	0	0
//Energy[eV]	XS[cm2]
0.00	5.64E-16
0.01	5.64E-16
0.02	5.64E-16
0.04	5.64E-16
0.06	5.64E-16
0.08	5.64E-16
0.1	5.64E-16
0.12	5.64E-16
0.14	5.64E-16
0.16	5.64E-16
0.18	5.64E-16
0.2	5.64E-16
0.22	5.64E-16
0.24	5.64E-16
0.26	5.64E-16
0.28	5.64E-16
0.3	5.64E-16
0.32	5.64E-16
0.34	5.64E-16
0.36	5.64E-16
0.38	5.64E-16
0.4	5.64E-16
0.42	5.64E-16
0.44	5.64E-16
0.46	5.64E-16
0.48	5.64E-16
0.5	5.64E-16
0.52	5.64E-16
0.54	5.64E-16
0.56	5.64E-16
0.58	5.64E-16
0.6	5.64E-16
0.62	5.64E-16
0.64	5.64E-16
0.66	5.64E-16
0.68	5.64E-16
0.7	5.64E-16
0.72	5.64E-16
0.74	5.64E-16
0.76	5.64E-16
0.78	5.64E-16
0.8	5.64E-16
0.82	5.64E-16
0.84	5.64001E-16
0.86	5.64001E-16
0.88	5.64001E-16
0.9	5.64E-16
0.92	5.63999E-16
0.94	5.63998E-16
0.96	5.63997E-16
0.98	5.63998E-16
1	5.64E-16
1.02	5.64005E-16
1.04	5.64012E-16
1.06	5.6402E-16
1.08	5.64031E-16
1.1	5.64042E-16
1.12	5.64054E-16
1.14	5.64067E-16
1.16	5.6408E-16
1.18	5.64092E-16
1.2	5.64104E-16
1.22	5.64116E-16
1.24	5.64126E-16
1.26	5.64134E-16
1.28	5.64141E-16
1.3	5.64146E-16
1.32	5.64148E-16
1.34	5.64147E-16
1.36	5.64143E-16
1.38	5.64136E-16
1.4	5.64125E-16
1.42	5.6411E-16
1.44	5.6409E-16
1.46	5.64065E-16
1.48	5.64035E-16
1.5	5.64E-16
1.52	5.63959E-16
1.54	5.63914E-16
1.56	5.63864E-16
1.58	5.63812E-16
1.6	5.63759E-16
1.62	5.63705E-16
1.64	5.63651E-16
1.66	5.636E-16
1.68	5.63551E-16
1.7	5.63505E-16
1.72	5.63465E-16
1.74	5.6343E-16
1.76	5.63403E-16
1.78	5.63383E-16
1.8	5.63372E-16
1.82	5.63372E-16
1.84	5.63383E-16
1.86	5.63406E-16
1.88	5.63442E-16
1.9	5.63493E-16
1.92	5.63559E-16
1.94	5.63642E-16
1.96	5.63742E-16
1.98	5.63861E-16
2	5.64E-16
2.02	5.64159E-16
2.04	5.64337E-16
2.06	5.64533E-16
2.08	5.64745E-16
2.1	5.64971E-16
2.12	5.6521E-16
2.14	5.6546E-16
2.16	5.65719E-16
2.18	5.65987E-16
2.2	5.66261E-16
2.22	5.66539E-16
2.24	5.66821E-16
2.26	5.67105E-16
2.28	5.67388E-16
2.3	5.67669E-16
2.32	5.67947E-16
2.34	5.68221E-16
2.36	5.68488E-16
2.38	5.68746E-16
2.4	5.68995E-16
2.42	5.69233E-16
2.44	5.69458E-16
2.46	5.69668E-16
2.48	5.69863E-16
2.5	5.70039E-16
2.52	5.70196E-16
2.54	5.70333E-16
2.56	5.70446E-16
2.58	5.70536E-16
2.6	5.706E-16
2.62	5.70636E-16
2.64	5.70644E-16
2.66	5.70621E-16
2.68	5.70565E-16
2.7	5.70477E-16
2.72	5.70352E-16
2.74	5.70191E-16
2.76	5.69991E-16
2.78	5.69751E-16
2.8	5.69469E-16
2.82	5.69144E-16
2.84	5.68774E-16
2.86	5.68357E-16
2.88	5.67892E-16
2.9	5.67377E-16
2.92	5.66811E-16
2.94	5.66192E-16
2.96	5.65518E-16
2.98	5.64788E-16
3	5.64E-16
3.02	5.63154E-16
3.04	5.62257E-16
3.06	5.61314E-16
3.08	5.60335E-16
3.1	5.59327E-16
3.12	5.58297E-16
3.14	5.57253E-16
3.16	5.56202E-16
3.18	5.55151E-16
3.2	5.54109E-16
3.22	5.53083E-16
3.24	5.5208E-16
3.26	5.51107E-16
3.28	5.50173E-16
3.3	5.49285E-16
3.32	5.48451E-16
3.34	5.47677E-16
3.36	5.46972E-16
3.38	5.46343E-16
3.4	5.45797E-16
3.42	5.45342E-16
3.44	5.44986E-16
3.46	5.44736E-16
3.48	5.446E-16
3.5	5.44584E-16
3.52	5.44697E-16
3.54	5.44947E-16
3.56	5.4534E-16
3.58	5.45884E-16
3.6	5.46587E-16
3.62	5.47456E-16
3.64	5.48499E-16
3.66	5.49723E-16
3.68	5.51136E-16
3.7	5.52745E-16
3.72	5.54558E-16
3.74	5.56583E-16
3.76	5.58826E-16
3.78	5.61296E-16
3.8	5.64E-16
3.82	5.6694E-16
3.84	5.70095E-16
3.86	5.7344E-16
3.88	5.76949E-16
3.9	5.80596E-16
3.92	5.84356E-16
3.94	5.88202E-16
3.96	5.92108E-16
3.98	5.9605E-16
4	6E-16
4.02	6.03938E-16
4.04	6.07859E-16
4.06	6.11764E-16
4.08	6.15653E-16
4.1	6.19527E-16
4.12	6.23385E-16
4.14	6.27229E-16
4.16	6.31058E-16
4.18	6.34872E-16
4.2	6.38673E-16
4.22	6.4246E-16
4.24	6.46234E-16
4.26	6.49995E-16
4.28	6.53743E-16
4.3	6.57479E-16
4.32	6.61203E-16
4.34	6.64915E-16
4.36	6.68616E-16
4.38	6.72306E-16
4.4	6.75985E-16
4.42	6.79654E-16
4.44	6.83312E-16
