//3	4	1	1	0	0	0	0
//E[eV]	ET XS [cm^2]
0.0	4.86e-16
0.00217	4.86e-16
0.00234	4.86e-16
0.00251	4.86e-16
0.00271	4.86e-16
0.00292	4.86e-16
0.00315	4.86e-16
0.00339	4.85e-16
0.00365	4.84e-16
0.00394	4.85e-16
0.00423	4.85e-16
0.00457	4.84e-16
0.00491	4.84e-16
0.00530	4.84e-16
0.00571	4.84e-16
0.00614	4.84e-16
0.00663	4.84e-16
0.00712	4.83e-16
0.00768	4.84e-16
0.00826	4.81e-16
0.00891	4.81e-16
0.00958	4.81e-16
0.0103	4.81e-16
0.0112	4.84e-16
0.0120	4.81e-16
0.0129	4.81e-16
0.0139	4.81e-16
0.0150	4.81e-16
0.0161	4.80e-16
0.0174	4.79e-16
0.0187	4.79e-16
0.0202	4.76e-16
0.0217	4.73e-16
0.0234	4.76e-16
0.0252	4.76e-16
0.0271	4.76e-16
0.0293	4.76e-16
0.0315	4.74e-16
0.0340	4.73e-16
0.0365	4.72e-16
0.0394	4.72e-16
0.0425	4.74e-16
0.0457	4.69e-16
0.0493	4.67e-16
0.0530	4.67e-16
0.0572	4.67e-16
0.0615	4.63e-16
0.0663	4.62e-16
0.0713	4.62e-16
0.0769	4.58e-16
0.0827	4.56e-16
0.0892	4.55e-16
0.0962	4.55e-16
0.103	4.50e-16
0.111	4.46e-16
0.120	4.46e-16
0.129	4.44e-16
0.139	4.39e-16
0.150	4.36e-16
0.161	4.34e-16
0.174	4.30e-16
0.187	4.25e-16
0.201	4.20e-16
0.217	4.19e-16
0.234	4.15e-16
0.252	4.10e-16
0.271	4.04e-16
0.292	4.00e-16
0.315	3.98e-16
0.339	3.92e-16
0.364	3.86e-16
0.391	3.80e-16
0.424	3.78e-16
0.456	3.73e-16
0.490	3.66e-16
0.527	3.60e-16
0.566	3.54e-16
0.611	3.51e-16
0.659	3.48e-16
0.708	3.42e-16
0.762	3.38e-16
0.822	3.35e-16
0.886	3.34e-16
0.953	3.29e-16
1.02	3.28e-16
1.11	3.27e-16
1.19	3.27e-16
1.28	3.29e-16
1.38	3.34e-16
1.48	3.39e-16
1.60	3.41e-16
1.75	3.54e-16
1.88	3.63e-16
2.02	3.76e-16
2.20	3.98e-16
2.38	4.17e-16
2.57	4.43e-16
2.83	4.88e-16
3.06	5.22e-16
3.31	5.71e-16
3.57	6.32e-16
3.85	6.93e-16
4.10	7.57e-16
4.29	8.15e-16
4.55	8.86e-16
4.88	9.89e-16
5.24	1.11e-15
5.61	1.25e-15
5.99	1.40e-15
6.34	1.51e-15
6.77	1.69e-15
7.25	1.83e-15
7.80	1.96e-15
8.39	2.04e-15
9.02	2.10e-15
9.63	2.12e-15
10.4	2.06e-15
11.2	1.98e-15
11.7	1.92e-15

