//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2] 
0	1.048E-15
1E-3	1.048E-15
0.00101	1.047E-15
0.00102	1.047E-15
0.00104	1.046E-15
0.00105	1.045E-15
0.00106	1.045E-15
0.00107	1.044E-15
0.00108	1.043E-15
0.0011	1.042E-15
0.00111	1.041E-15
0.00112	1.041E-15
0.00114	1.040E-15
0.00115	1.039E-15
0.00116	1.038E-15
0.00117	1.037E-15
0.00119	1.036E-15
0.0012	1.035E-15
0.00122	1.034E-15
0.00123	1.033E-15
0.00124	1.032E-15
0.00126	1.031E-15
0.00127	1.030E-15
0.00129	1.029E-15
0.0013	1.028E-15
0.00132	1.027E-15
0.00133	1.026E-15
0.00135	1.024E-15
0.00136	1.023E-15
0.00138	1.022E-15
0.0014	1.021E-15
0.00141	1.019E-15
0.00143	1.018E-15
0.00145	1.017E-15
0.00146	1.015E-15
0.00148	1.014E-15
0.0015	1.012E-15
0.00151	1.011E-15
0.00153	1.010E-15
0.00155	1.008E-15
0.00157	1.006E-15
0.00158	1.005E-15
0.0016	1.003E-15
0.00162	1.002E-15
0.00164	1.000E-15
0.00166	9.984E-16
0.00168	9.967E-16
0.0017	9.950E-16
0.00172	9.932E-16
0.00174	9.915E-16
0.00176	9.897E-16
0.00178	9.878E-16
0.0018	9.860E-16
0.00182	9.841E-16
0.00184	9.822E-16
0.00186	9.803E-16
0.00188	9.784E-16
0.00191	9.764E-16
0.00193	9.745E-16
0.00195	9.725E-16
0.00197	9.705E-16
0.002	9.684E-16
0.00202	9.664E-16
0.00204	9.643E-16
0.00207	9.622E-16
0.00209	9.601E-16
0.00211	9.580E-16
0.00214	9.559E-16
0.00216	9.538E-16
0.00219	9.516E-16
0.00221	9.494E-16
0.00224	9.472E-16
0.00226	9.450E-16
0.00229	9.428E-16
0.00232	9.406E-16
0.00234	9.383E-16
0.00237	9.361E-16
0.0024	9.338E-16
0.00243	9.315E-16
0.00245	9.292E-16
0.00248	9.269E-16
0.00251	9.246E-16
0.00254	9.223E-16
0.00257	9.200E-16
0.0026	9.176E-16
0.00263	9.153E-16
0.00266	9.129E-16
0.00269	9.105E-16
0.00272	9.082E-16
0.00275	9.058E-16
0.00279	9.034E-16
0.00282	9.010E-16
0.00285	8.986E-16
0.00288	8.962E-16
0.00292	8.938E-16
0.00295	8.914E-16
0.00299	8.890E-16
0.00302	8.866E-16
0.00305	8.842E-16
0.00309	8.818E-16
0.00313	8.794E-16
0.00316	8.770E-16
0.0032	8.747E-16
0.00324	8.723E-16
0.00327	8.699E-16
0.00331	8.675E-16
0.00335	8.651E-16
0.00339	8.627E-16
0.00343	8.603E-16
0.00347	8.579E-16
0.00351	8.555E-16
0.00355	8.531E-16
0.00359	8.506E-16
0.00363	8.482E-16
0.00367	8.458E-16
0.00372	8.433E-16
0.00376	8.408E-16
0.0038	8.384E-16
0.00385	8.359E-16
0.00389	8.333E-16
0.00394	8.308E-16
0.00398	8.282E-16
0.00403	8.257E-16
0.00407	8.230E-16
0.00412	8.204E-16
0.00417	8.177E-16
0.00422	8.150E-16
0.00427	8.122E-16
0.00432	8.094E-16
0.00437	8.066E-16
0.00442	8.037E-16
0.00447	8.008E-16
0.00452	7.978E-16
0.00457	7.947E-16
0.00462	7.915E-16
0.00468	7.883E-16
0.00473	7.850E-16
0.00479	7.817E-16
0.00484	7.782E-16
0.0049	7.746E-16
0.00495	7.710E-16
0.00501	7.672E-16
0.00507	7.633E-16
0.00513	7.593E-16
0.00519	7.552E-16
0.00525	7.510E-16
0.00531	7.467E-16
0.00537	7.423E-16
0.00543	7.377E-16
0.0055	7.331E-16
0.00556	7.284E-16
0.00562	7.237E-16
0.00569	7.188E-16
0.00575	7.139E-16
0.00582	7.089E-16
0.00589	7.039E-16
0.00596	6.988E-16
0.00603	6.936E-16
0.0061	6.885E-16
0.00617	6.833E-16
0.00624	6.781E-16
0.00631	6.729E-16
0.00638	6.677E-16
0.00646	6.625E-16
0.00653	6.573E-16
0.00661	6.523E-16
0.00668	6.472E-16
0.00676	6.423E-16
0.00684	6.374E-16
0.00692	6.327E-16
0.007	6.281E-16
0.00708	6.236E-16
0.00716	6.193E-16
0.00724	6.151E-16
0.00733	6.110E-16
0.00741	6.070E-16
0.0075	6.031E-16
0.00759	5.992E-16
0.00767	5.954E-16
0.00776	5.915E-16
0.00785	5.877E-16
0.00794	5.837E-16
0.00804	5.798E-16
0.00813	5.756E-16
0.00822	5.714E-16
0.00832	5.670E-16
0.00841	5.623E-16
0.00851	5.574E-16
0.00861	5.522E-16
0.00871	5.468E-16
0.00881	5.410E-16
0.00891	5.351E-16
0.00902	5.289E-16
0.00912	5.225E-16
0.00923	5.159E-16
0.00933	5.093E-16
0.00944	5.025E-16
0.00955	4.956E-16
0.00966	4.887E-16
0.00977	4.817E-16
0.00989	4.748E-16
0.01	4.680E-16
0.01012	4.613E-16
0.01023	4.547E-16
0.01028	4.520E-16
3.31131	4.516E-16
3.34965	4.557E-16
3.38844	4.599E-16
3.42768	4.641E-16
3.46737	4.684E-16
3.50752	4.727E-16
3.54813	4.770E-16
3.58922	4.813E-16
3.63078	4.855E-16
3.67282	4.897E-16
3.71535	4.939E-16
3.75837	4.982E-16
3.80189	5.024E-16
3.84592	5.067E-16
3.89045	5.111E-16
3.9355	5.157E-16
3.98107	5.204E-16
4.02717	5.253E-16
4.0738	5.304E-16
4.12098	5.357E-16
4.16869	5.411E-16
4.21697	5.467E-16
4.2658	5.523E-16
4.31519	5.580E-16
4.36516	5.637E-16
4.4157	5.693E-16
4.46684	5.749E-16
4.51856	5.803E-16
4.57088	5.857E-16
4.62381	5.909E-16
4.67735	5.960E-16
4.73151	6.011E-16
4.7863	6.062E-16
4.84172	6.114E-16
4.89779	6.166E-16
4.9545	6.220E-16
5.01187	6.276E-16
5.06991	6.334E-16
5.12861	6.394E-16
5.188	6.457E-16
5.24807	6.522E-16
5.30884	6.588E-16
5.37032	6.657E-16
5.4325	6.727E-16
5.49541	6.799E-16
5.55904	6.873E-16
5.62341	6.948E-16
5.68853	7.024E-16
5.7544	7.101E-16
5.82103	7.178E-16
5.88844	7.256E-16
5.95662	7.335E-16
6.0256	7.413E-16
6.09537	7.491E-16
6.16595	7.570E-16
6.23735	7.650E-16
6.30957	7.730E-16
6.38263	7.812E-16
6.45654	7.896E-16
6.53131	7.982E-16
6.60693	8.072E-16
6.68344	8.164E-16
6.76083	8.261E-16
6.83912	8.362E-16
6.91831	8.469E-16
6.99842	8.582E-16
7.07946	8.701E-16
7.16143	8.826E-16
7.24436	8.958E-16
7.32825	9.095E-16
7.4131	9.237E-16
7.49894	9.384E-16
7.58578	9.534E-16
7.67361	9.688E-16
7.76247	9.845E-16
7.85236	1.000E-15
7.94328	1.016E-15
8.03526	1.033E-15
8.12831	1.049E-15
8.22243	1.065E-15
8.31764	1.081E-15
8.41395	1.097E-15
8.51138	1.112E-15
8.60994	1.128E-15
8.70964	1.143E-15
8.81049	1.158E-15
8.91251	1.173E-15
9.01571	1.187E-15
9.12011	1.201E-15
9.22571	1.215E-15
9.33254	1.228E-15
9.44061	1.240E-15
9.54993	1.252E-15
9.66051	1.263E-15
9.77237	1.273E-15
9.88553	1.282E-15
10	1.290E-15
10.11579	1.298E-15
10.23293	1.304E-15
10.35142	1.309E-15
10.47129	1.313E-15
10.59254	1.316E-15
10.71519	1.319E-15
10.83927	1.320E-15
10.96478	1.321E-15
11.09175	1.321E-15
11.22018	1.320E-15
11.35011	1.319E-15
11.48154	1.317E-15
11.61449	1.315E-15
11.74898	1.312E-15
11.88502	1.309E-15
12.02264	1.306E-15
12.16186	1.302E-15
12.30269	1.299E-15
12.44515	1.295E-15
12.58925	1.292E-15
12.73503	1.288E-15
12.8825	1.284E-15
13.03167	1.280E-15
13.18257	1.275E-15
13.33521	1.271E-15
13.48963	1.267E-15
13.64583	1.262E-15
13.80384	1.257E-15
13.96368	1.252E-15
14.12538	1.247E-15
14.28894	1.242E-15
14.4544	1.237E-15
14.62177	1.231E-15
14.79108	1.225E-15
14.96236	1.220E-15
15.13561	1.214E-15
15.31087	1.208E-15
15.48817	1.201E-15
15.66751	1.195E-15
15.84893	1.188E-15
16.03245	1.181E-15
16.2181	1.174E-15
16.4059	1.166E-15
16.59587	1.157E-15
16.78804	1.149E-15
16.98244	1.139E-15
17.17908	1.129E-15
17.37801	1.119E-15
17.57924	1.108E-15
17.78279	1.096E-15
17.98871	1.084E-15
18.19701	1.072E-15
18.40772	1.059E-15
18.62087	1.047E-15
18.83649	1.034E-15
19.05461	1.021E-15
19.27525	1.009E-15
19.49845	9.964E-16
19.72423	9.843E-16
19.95262	9.727E-16
20.18366	9.617E-16
20.41738	9.513E-16
20.6538	9.415E-16
20.89296	9.323E-16
21.13489	9.236E-16
21.37962	9.155E-16
21.62719	9.080E-16
21.87762	9.009E-16
22.13095	8.944E-16
