//3	4	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
0	2.86e-17
1.00e-03	2.86e-17
0.002	2.86e-17
0.003	2.86e-17
0.004	2.86e-17
0.005	2.86e-17
0.006	2.86e-17
0.007	2.86e-17
0.008	2.86e-17
0.009	2.86e-17
0.01	2.86e-17
0.015	2.82e-17
0.02	2.79e-17
0.03	2.77e-17
0.04	2.75e-17
0.05	2.72e-17
0.06	2.67e-17
0.07	2.64e-17
0.08	2.62e-17
0.09	2.60e-17
0.1	2.58e-17
0.15	2.50e-17
0.2	2.41e-17
0.3	2.27e-17
0.4	2.19e-17
0.5	2.12e-17
0.6	2.08e-17
0.7	2.05e-17
0.8	2.05e-17
0.9	2.05e-17
1	2.05e-17
1.5	2.37e-17
2	3.40e-17
3	1.49e-16
4	8.14e-16
5	8.84e-16
6	1.32e-15
7	1.75e-15
8	2.02e-15
9	2.11e-15
10	2.13e-15
11.5	2.21e-15
 
