//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
0	3.10E-17
0.01	3.10E-17
0.02	3.10E-17
0.03	3.10E-17
0.04	3.10E-17
0.05	3.10E-17
0.06	3.11E-17
0.07	3.11E-17
0.08	3.11E-17
0.09	3.11E-17
0.1	3.11E-17
0.11	3.11E-17
0.12	3.11E-17
0.13	3.11E-17
0.14	3.11E-17
0.15	3.11E-17
0.16	3.11E-17
0.17	3.11E-17
0.18	3.11E-17
0.19	3.11E-17
0.2	3.11E-17
0.21	3.11E-17
0.22	3.11E-17
0.23	3.10E-17
0.24	3.10E-17
0.25	3.10E-17
0.26	3.10E-17
0.27	3.10E-17
0.28	3.10E-17
0.29	3.10E-17
0.3	3.09E-17
0.31	3.09E-17
0.32	3.09E-17
0.33	3.09E-17
0.34	3.09E-17
0.35	3.09E-17
0.36	3.09E-17
0.37	3.09E-17
0.38	3.08E-17
0.39	3.08E-17
0.4	3.08E-17
0.41	3.08E-17
0.42	3.08E-17
0.43	3.08E-17
0.44	3.09E-17
0.45	3.09E-17
0.46	3.09E-17
0.47	3.09E-17
0.48	3.09E-17
0.49	3.10E-17
0.5	3.10E-17
0.51	3.11E-17
0.52	3.11E-17
0.53	3.12E-17
0.54	3.12E-17
0.55	3.13E-17
0.56	3.14E-17
0.57	3.15E-17
0.58	3.15E-17
0.59	3.16E-17
0.6	3.17E-17
0.61	3.18E-17
0.62	3.19E-17
0.63	3.20E-17
0.64	3.21E-17
0.65	3.22E-17
0.66	3.23E-17
0.67	3.24E-17
0.68	3.25E-17
0.69	3.26E-17
0.7	3.27E-17
0.71	3.28E-17
0.72	3.29E-17
0.73	3.31E-17
0.74	3.32E-17
0.75	3.33E-17
0.76	3.34E-17
0.77	3.35E-17
0.78	3.36E-17
0.79	3.37E-17
0.8	3.38E-17
0.81	3.39E-17
0.82	3.40E-17
0.83	3.41E-17
0.84	3.43E-17
0.85	3.44E-17
0.86	3.45E-17
0.87	3.46E-17
0.88	3.47E-17
0.89	3.48E-17
0.9	3.49E-17
0.91	3.50E-17
0.92	3.51E-17
0.93	3.53E-17
0.94	3.54E-17
0.95	3.55E-17
0.96	3.56E-17
0.97	3.57E-17
0.98	3.58E-17
0.99	3.60E-17
1	3.61E-17
1.01	3.62E-17
1.02	3.64E-17
1.03	3.65E-17
1.04	3.66E-17
1.05	3.68E-17
1.06	3.69E-17
1.07	3.70E-17
1.08	3.72E-17
1.09	3.73E-17
1.1	3.75E-17
1.11	3.76E-17
1.12	3.78E-17
1.13	3.79E-17
1.14	3.81E-17
1.15	3.83E-17
1.16	3.84E-17
1.17	3.86E-17
1.18	3.88E-17
1.19	3.89E-17
1.2	3.91E-17
1.21	3.93E-17
1.22	3.95E-17
1.23	3.97E-17
1.24	3.99E-17
1.25	4.01E-17
1.26	4.03E-17
1.27	4.05E-17
1.28	4.07E-17
1.29	4.09E-17
1.3	4.11E-17
1.31	4.13E-17
1.32	4.15E-17
1.33	4.18E-17
1.34	4.20E-17
1.35	4.23E-17
1.36	4.25E-17
1.37	4.28E-17
1.38	4.30E-17
1.39	4.33E-17
1.4	4.36E-17
1.41	4.39E-17
1.42	4.42E-17
1.43	4.45E-17
1.44	4.48E-17
1.45	4.51E-17
1.46	4.54E-17
1.47	4.57E-17
1.48	4.61E-17
1.49	4.64E-17
1.5	4.68E-17
1.51	4.72E-17
1.52	4.76E-17
1.53	4.80E-17
1.54	4.84E-17
1.55	4.88E-17
1.56	4.92E-17
1.57	4.96E-17
1.58	5.01E-17
1.59	5.05E-17
1.6	5.09E-17
1.61	5.14E-17
1.62	5.18E-17
1.63	5.23E-17
1.64	5.28E-17
1.65	5.32E-17
1.66	5.37E-17
1.67	5.42E-17
1.68	5.47E-17
1.69	5.51E-17
1.7	5.56E-17
1.71	5.61E-17
1.72	5.66E-17
1.73	5.71E-17
1.74	5.75E-17
1.75	5.80E-17
1.76	5.85E-17
1.77	5.90E-17
1.78	5.95E-17
1.79	6.00E-17
1.8	6.04E-17
1.81	6.09E-17
1.82	6.14E-17
1.83	6.19E-17
1.84	6.24E-17
1.85	6.29E-17
1.86	6.34E-17
1.87	6.39E-17
1.88	6.44E-17
1.89	6.49E-17
1.9	6.54E-17
1.91	6.60E-17
1.92	6.65E-17
1.93	6.70E-17
1.94	6.76E-17
1.95	6.81E-17
1.96	6.87E-17
1.97	6.93E-17
1.98	6.99E-17
1.99	7.05E-17
2	7.11E-17
2.01	7.17E-17
2.02	7.23E-17
2.03	7.29E-17
2.04	7.36E-17
2.05	7.43E-17
2.06	7.49E-17
2.07	7.56E-17
2.08	7.63E-17
2.09	7.70E-17
2.1	7.78E-17
2.11	7.85E-17
2.12	7.92E-17
2.13	8.00E-17
2.14	8.08E-17
2.15	8.16E-17
2.16	8.24E-17
2.17	8.32E-17
2.18	8.40E-17
2.19	8.48E-17
2.2	8.57E-17
2.21	8.65E-17
2.22	8.74E-17
2.23	8.83E-17
2.24	8.92E-17
2.25	9.01E-17
2.26	9.11E-17
2.27	9.20E-17
2.28	9.30E-17
2.29	9.40E-17
2.3	9.50E-17
2.31	9.60E-17
2.32	9.70E-17
2.33	9.81E-17
2.34	9.92E-17
2.35	1.00E-16
2.36	1.01E-16
2.37	1.03E-16
2.38	1.04E-16
2.39	1.05E-16
2.4	1.06E-16
2.41	1.07E-16
2.42	1.09E-16
2.43	1.10E-16
2.44	1.11E-16
2.45	1.13E-16
2.46	1.14E-16
2.47	1.16E-16
2.48	1.17E-16
2.49	1.19E-16
2.5	1.20E-16
2.51	1.22E-16
2.52	1.24E-16
2.53	1.25E-16
2.54	1.27E-16
2.55	1.29E-16
2.56	1.30E-16
2.57	1.32E-16
2.58	1.34E-16
2.59	1.36E-16
2.6	1.38E-16
2.61	1.40E-16
2.62	1.42E-16
2.63	1.44E-16
2.64	1.46E-16
2.65	1.48E-16
2.66	1.50E-16
2.67	1.52E-16
2.68	1.54E-16
2.69	1.56E-16
2.7	1.58E-16
2.71	1.60E-16
2.72	1.62E-16
2.73	1.64E-16
2.74	1.66E-16
2.75	1.68E-16
2.76	1.70E-16
2.77	1.72E-16
2.78	1.74E-16
2.79	1.77E-16
2.8	1.79E-16
2.81	1.81E-16
2.82	1.83E-16
2.83	1.85E-16
2.84	1.87E-16
2.85	1.90E-16
2.86	1.92E-16
2.87	1.94E-16
2.88	1.96E-16
2.89	1.99E-16
2.9	2.01E-16
2.91	2.03E-16
2.92	2.06E-16
2.93	2.08E-16
2.94	2.10E-16
2.95	2.13E-16
2.96	2.15E-16
2.97	2.18E-16
2.98	2.20E-16
2.99	2.23E-16
3	2.26E-16
3.01	2.28E-16
3.02	2.31E-16
3.03	2.34E-16
3.04	2.37E-16
3.05	2.39E-16
3.06	2.42E-16
3.07	2.45E-16
3.08	2.48E-16
3.09	2.51E-16
3.1	2.54E-16
3.11	2.57E-16
3.12	2.60E-16
3.13	2.63E-16
3.14	2.67E-16
3.15	2.70E-16
3.16	2.73E-16
3.17	2.76E-16
3.18	2.80E-16
3.19	2.83E-16
3.2	2.86E-16
3.21	2.90E-16
3.22	2.93E-16
3.23	2.97E-16
3.24	3.00E-16
3.25	3.04E-16
3.26	3.08E-16
3.27	3.11E-16
3.28	3.15E-16
3.29	3.19E-16
3.3	3.22E-16
3.31	3.26E-16
3.32	3.30E-16
3.33	3.34E-16
3.34	3.38E-16
3.35	3.42E-16
3.36	3.46E-16
3.37	3.50E-16
3.38	3.54E-16
3.39	3.58E-16
3.4	3.63E-16
3.41	3.67E-16
3.42	3.71E-16
3.43	3.76E-16
3.44	3.80E-16
3.45	3.85E-16
3.46	3.89E-16
3.47	3.94E-16
3.48	3.99E-16
3.49	4.04E-16
3.5	4.08E-16
3.51	4.13E-16
3.52	4.18E-16
3.53	4.23E-16
3.54	4.29E-16
3.55	4.34E-16
3.56	4.39E-16
3.57	4.44E-16
3.58	4.50E-16
3.59	4.55E-16
3.6	4.60E-16
3.61	4.66E-16
3.62	4.71E-16
3.63	4.77E-16
3.64	4.82E-16
3.65	4.87E-16
3.66	4.93E-16
3.67	4.98E-16
3.68	5.04E-16
3.69	5.09E-16
3.7	5.14E-16
3.71	5.20E-16
3.72	5.25E-16
3.73	5.30E-16
3.74	5.36E-16
3.75	5.41E-16
3.76	5.46E-16
3.77	5.51E-16
3.78	5.56E-16
3.79	5.61E-16
3.8	5.66E-16
3.81	5.71E-16
3.82	5.76E-16
3.83	5.81E-16
3.84	5.86E-16
3.85	5.91E-16
3.86	5.96E-16
3.87	6.01E-16
3.88	6.06E-16
3.89	6.11E-16
3.9	6.16E-16
3.91	6.21E-16
3.92	6.26E-16
3.93	6.31E-16
3.94	6.36E-16
3.95	6.41E-16
3.96	6.46E-16
3.97	6.51E-16
3.98	6.56E-16
3.99	6.61E-16
4	6.66E-16
4.01	6.71E-16
4.02	6.76E-16
4.03	6.81E-16
4.04	6.86E-16
4.05	6.91E-16
4.06	6.97E-16
4.07	7.02E-16
4.08	7.07E-16
4.09	7.12E-16
4.1	7.17E-16
4.11	7.22E-16
4.12	7.27E-16
4.13	7.32E-16
4.14	7.37E-16
4.15	7.42E-16
4.16	7.47E-16
4.17	7.52E-16
4.18	7.57E-16
4.19	7.62E-16
4.2	7.67E-16
4.21	7.72E-16
4.22	7.77E-16
4.23	7.81E-16
4.24	7.86E-16
4.25	7.91E-16
4.26	7.95E-16
4.27	8.00E-16
4.28	8.04E-16
4.29	8.09E-16
4.3	8.13E-16
4.31	8.17E-16
4.32	8.21E-16
4.33	8.25E-16
4.34	8.30E-16
4.35	8.34E-16
4.36	8.38E-16
4.37	8.42E-16
4.38	8.45E-16
4.39	8.49E-16
4.4	8.53E-16
4.41	8.57E-16
4.42	8.61E-16
4.43	8.64E-16
4.44	8.68E-16
4.45	8.71E-16
4.46	8.75E-16
4.47	8.78E-16
4.48	8.82E-16
4.49	8.85E-16
4.5	8.89E-16
4.51	8.92E-16
4.52	8.95E-16
4.53	8.99E-16
4.54	9.02E-16
4.55	9.05E-16
4.56	9.08E-16
4.57	9.11E-16
4.58	9.14E-16
4.59	9.17E-16
4.6	9.20E-16
4.61	9.23E-16
4.62	9.26E-16
4.63	9.29E-16
4.64	9.32E-16
4.65	9.35E-16
4.66	9.38E-16
4.67	9.40E-16
4.68	9.43E-16
4.69	9.46E-16
4.7	9.48E-16
4.71	9.51E-16
4.72	9.53E-16
4.73	9.56E-16
4.74	9.58E-16
4.75	9.61E-16
4.76	9.63E-16
4.77	9.65E-16
4.78	9.68E-16
4.79	9.70E-16
4.8	9.72E-16
4.81	9.74E-16
4.82	9.76E-16
4.83	9.78E-16
4.84	9.80E-16
4.85	9.82E-16
4.86	9.84E-16
4.87	9.86E-16
4.88	9.88E-16
4.89	9.90E-16
4.9	9.92E-16
4.91	9.94E-16
4.92	9.96E-16
4.93	9.97E-16
4.94	9.99E-16
4.95	1.00E-15
4.96	1.00E-15
4.97	1.00E-15
