//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
0.00	2.94408E-17
0.01	2.94408E-17
0.02	2.89406E-17
0.04	2.8726E-17
0.06	2.85773E-17
0.08	2.84555E-17
0.1	2.83733E-17
0.12	2.83197E-17
0.14	2.82879E-17
0.16	2.82673E-17
0.18	2.82532E-17
0.2	2.82431E-17
0.22	2.82356E-17
0.24	2.82299E-17
0.26	2.82255E-17
0.28	2.8222E-17
0.3	2.82191E-17
0.32	2.82168E-17
0.34	2.82139E-17
0.36	2.82092E-17
0.38	2.82151E-17
0.4	2.82513E-17
0.42	2.83518E-17
0.44	2.85201E-17
0.46	2.87097E-17
0.48	2.88959E-17
0.5	2.90789E-17
0.52	2.92643E-17
0.54	2.94655E-17
0.56	2.96834E-17
0.58	2.99038E-17
0.6	3.01185E-17
0.62	3.03279E-17
0.64	3.05333E-17
0.66	3.0735E-17
0.68	3.09332E-17
0.7	3.11281E-17
0.72	3.13199E-17
0.74	3.15086E-17
0.76	3.16946E-17
0.78	3.18779E-17
0.8	3.20584E-17
0.82	3.22352E-17
0.84	3.241E-17
0.86	3.25871E-17
0.88	3.27708E-17
0.9	3.29616E-17
0.92	3.31555E-17
0.94	3.33532E-17
0.96	3.35612E-17
0.98	3.3792E-17
1	3.40497E-17
1.02	3.43333E-17
1.04	3.46381E-17
1.06	3.49619E-17
1.08	3.53028E-17
1.1	3.56588E-17
1.12	3.60294E-17
1.14	3.64155E-17
1.16	3.68188E-17
1.18	3.7239E-17
1.2	3.76741E-17
1.22	3.812E-17
1.24	3.85784E-17
1.26	3.90541E-17
1.28	3.95577E-17
1.3	4.0092E-17
1.32	4.06559E-17
1.34	4.12423E-17
1.36	4.18471E-17
1.38	4.2469E-17
1.4	4.31083E-17
1.42	4.37658E-17
1.44	4.44415E-17
1.46	4.51357E-17
1.48	4.58498E-17
1.5	4.65827E-17
1.52	4.73321E-17
1.54	4.80917E-17
1.56	4.88568E-17
1.58	4.96277E-17
1.6	5.04071E-17
1.62	5.12028E-17
1.64	5.20176E-17
1.66	5.28525E-17
1.68	5.37046E-17
1.7	5.45696E-17
1.72	5.54491E-17
1.74	5.63463E-17
1.76	5.72719E-17
1.78	5.82335E-17
1.8	5.92308E-17
1.82	6.02606E-17
1.84	6.13116E-17
1.86	6.23767E-17
1.88	6.34525E-17
1.9	6.45369E-17
1.92	6.56285E-17
1.94	6.67272E-17
1.96	6.78335E-17
1.98	6.89486E-17
2	7.00753E-17
2.02	7.12161E-17
2.04	7.23729E-17
2.06	7.35478E-17
2.08	7.47431E-17
2.1	7.5961E-17
2.12	7.72042E-17
2.14	7.84756E-17
2.16	7.97782E-17
2.18	8.1115E-17
2.2	8.24893E-17
2.22	8.39045E-17
2.24	8.53644E-17
2.26	8.68728E-17
2.28	8.8433E-17
2.3	9.00483E-17
2.32	9.17221E-17
2.34	9.34577E-17
2.36	9.52581E-17
2.38	9.71258E-17
2.4	9.90632E-17
2.42	1.01072E-16
2.44	1.03156E-16
2.46	1.05314E-16
2.48	1.0755E-16
2.5	1.09865E-16
