//3	4	1	1	0	0	0	0
//E[eV]	MT XS [cm^2]
0.0	2.85e-17
0.00210	2.85e-17
0.00226	2.85e-17
0.00243	2.85e-17
0.00262	2.85e-17
0.00281	2.85e-17
0.00302	2.85e-17
0.00325	2.85e-17
0.00350	2.85e-17
0.00376	2.85e-17
0.00404	2.85e-17
0.00435	2.85e-17
0.00467	2.85e-17
0.00502	2.85e-17
0.00540	2.85e-17
0.00581	2.85e-17
0.00624	2.85e-17
0.00671	2.85e-17
0.00722	2.85e-17
0.00776	2.85e-17
0.00834	2.84e-17
0.00897	2.83e-17
0.00965	2.83e-17
0.0104	2.83e-17
0.0112	2.82e-17
0.0120	2.82e-17
0.0129	2.82e-17
0.0139	2.82e-17
0.0149	2.82e-17
0.0160	2.82e-17
0.0172	2.80e-17
0.0185	2.80e-17
0.0199	2.79e-17
0.0214	2.79e-17
0.0230	2.79e-17
0.0248	2.79e-17
0.0266	2.77e-17
0.0286	2.76e-17
0.0308	2.76e-17
0.0331	2.75e-17
0.0356	2.74e-17
0.0382	2.73e-17
0.0411	2.73e-17
0.0442	2.72e-17
0.0475	2.70e-17
0.0511	2.70e-17
0.0549	2.68e-17
0.0591	2.68e-17
0.0635	2.66e-17
0.0683	2.65e-17
0.0734	2.64e-17
0.0789	2.62e-17
0.0849	2.61e-17
0.0913	2.60e-17
0.0981	2.58e-17
0.105	2.57e-17
0.113	2.55e-17
0.122	2.54e-17
0.131	2.52e-17
0.141	2.50e-17
0.152	2.48e-17
0.163	2.47e-17
0.175	2.44e-17
0.188	2.43e-17
0.203	2.41e-17
0.218	2.38e-17
0.234	2.36e-17
0.252	2.33e-17
0.271	2.30e-17
0.291	2.28e-17
0.313	2.25e-17
0.336	2.23e-17
0.362	2.20e-17
0.389	2.18e-17
0.418	2.16e-17
0.450	2.14e-17
0.483	2.11e-17
0.520	2.10e-17
0.559	2.08e-17
0.601	2.07e-17
0.646	2.06e-17
0.695	2.05e-17
0.747	2.05e-17
0.803	2.05e-17
0.863	2.05e-17
0.928	2.05e-17
0.998	2.06e-17
1.07	2.08e-17
1.15	2.11e-17
1.24	2.15e-17
1.33	2.22e-17
1.43	2.31e-17
1.54	2.43e-17
1.66	2.60e-17
1.78	2.82e-17
1.91	3.11e-17
2.03	3.47e-17
2.15	3.90e-17
2.26	4.40e-17
2.38	4.98e-17
2.47	5.62e-17
2.54	6.33e-17
2.61	7.07e-17
2.68	7.97e-17
2.75	8.96e-17
2.82	1.01e-16
2.87	1.14e-16
2.94	1.28e-16
3.00	1.43e-16
3.07	1.64e-16
3.12	1.86e-16
3.18	2.13e-16
3.25	2.46e-16
3.31	2.84e-16
3.38	3.27e-16
3.45	3.74e-16
3.50	4.26e-16
3.57	4.80e-16
3.64	5.34e-16
3.73	6.17e-16
3.87	7.18e-16
4.03	8.24e-16
4.15	8.86e-16
4.27	9.20e-16
4.39	9.36e-16
4.57	9.55e-16
4.74	9.67e-16
4.93	9.87e-16
5.13	1.02e-15
5.32	1.07e-15
5.66	1.18e-15
6.04	1.35e-15
6.44	1.53e-15
6.88	1.71e-15
7.40	1.87e-15
7.95	1.99e-15
8.55	2.06e-15
9.20	2.13e-15
9.87	2.15e-15
10.7	2.20e-15
11.5	2.21e-15
 
