//3	4	0	0	0	0	0	0
//Energy[eV]	S(eps)
0	5.50E-02
2.50E-01	5.50E-02
0.5	5.90E-02
0.75	6.50E-02
1	7.40E-02
1.25	8.50E-02
1.5	1.03E-01
1.75	1.26E-01
2	1.71E-01
2.25	2.39E-01
2.5	3.40E-01
2.75	5.04E-01
3	7.32E-01
3.25	9.48E-01
3.5	1.14E+00
3.75	1.24E+00
4	1.29E+00
4.25	1.29E+00
4.5	1.28E+00
4.75	1.24E+00
5	1.21E+00
5.25	1.17E+00
5.5	1.13E+00
5.75	1.09E+00
6	1.05E+00
6.25	1.02E+00
6.5	9.90E-01
6.75	9.70E-01
7	9.50E-01
7.5	9.50E-01
8	9.50E-01
8.5	9.50E-01
9	9.50E-01
10	9.50E-01
11	9.50E-01
12	9.50E-01
13	9.50E-01
15	9.50E-01
17	9.50E-01
20	9.50E-01
22	9.50E-01
25	9.50E-01
27	9.50E-01
30	9.50E-01
32	9.50E-01
35	9.50E-01
40	9.50E-01

