//3	4	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
0	1.42E-16
1.00E-03	1.42E-16
0.002	1.42E-16
0.003	1.42E-16
0.004	1.42E-16
0.005	1.42E-16
0.006	1.42E-16
0.007	1.42E-16
0.008	1.42E-16
0.009	1.42E-16
0.01	1.42E-16
0.015	1.42E-16
0.02	1.42E-16
0.03	1.42E-16
0.04	1.42E-16
0.05	1.42E-16
0.06	1.42E-16
0.07	1.42E-16
0.08	1.42E-16
0.09	1.42E-16
0.1	1.42E-16
0.15	1.42E-16
0.2	1.42E-16
0.3	1.42E-16
0.4	1.42E-16
0.5	1.42E-16
0.56	1.42E-16
0.6	1.42E-16
0.7	1.42E-16
0.8	1.42E-16
0.9	1.42E-16
1	1.42E-16
1.5	1.42E-16
1.65	1.42E-16
2	2.26E-16
3	5.10E-16
3.8	7.62E-16
4	8.15E-16
5	1.13E-15
6	1.43E-15
7	1.70E-15
8	1.89E-15
9.5	2.07E-15
10.5	2.12E-15
11.5	2.15E-15
12	2.15E-15
14	2.15E-15
16	2.09E-15
18	2.00E-15
20	1.87E-15
22	1.87E-15
25	1.87E-15
30	1.87E-15
35	1.87E-15
40	1.87E-15

