//1	2	1	1	0	0	0	0
//Energy[eV]	XS[cm2]
0	7.80999999999999e-18
0.001	7.8084921463039652e-18
0.002	7.8069979064319642e-18
0.0030000000000000001	7.8055172622079663e-18
0.0040000000000000001	7.804050195455966e-18
0.0050000000000000001	7.8025966879999671e-18
0.0060000000000000001	7.8011567216639673e-18
0.0070000000000000001	7.7997302782719518e-18
0.0080000000000000002	7.7983173396479737e-18
0.0089999999999999993	7.7969178876160445e-18
0.01	7.7955319040000463e-18
0.010999999999999999	7.7941593706240954e-18
0.012	7.7928002693121016e-18
0.012999999999999999	7.7914545818880779e-18
0.014	7.7901222901760328e-18
0.014999999999999999	7.7888033759999684e-18
0.016	7.7874978211839719e-18
0.017000000000000001	7.7862056075519837e-18
0.017999999999999999	7.7849267169279924e-18
0.019	7.7836611311360047e-18
0.02	7.7824088319999782e-18
0.021000000000000001	7.7811698013439784e-18
0.021999999999999999	7.7799440209919798e-18
0.023	7.7787314727679816e-18
0.024	7.777532138495986e-18
0.025000000000000001	7.7763459999999922e-18
0.025999999999999999	7.7751730391039977e-18
0.027	7.7740132376320019e-18
0.028000000000000001	7.7728665774080085e-18
0.029000000000000001	7.7717330402560135e-18
0.029999999999999999	7.7706126079999823e-18
0.031	7.7695052624639864e-18
0.032000000000000001	7.7684109854719927e-18
0.033000000000000002	7.7673297588479972e-18
0.034000000000000002	7.7662615644160022e-18
0.035000000000000003	7.7652063840000084e-18
0.035999999999999997	7.7641641994240135e-18
0.036999999999999998	7.7631349925120196e-18
0.037999999999999999	7.7621187450880229e-18
0.039	7.7611154389760273e-18
0.040000000000000001	7.7601250560000333e-18
0.041000000000000002	7.7591475779840309e-18
0.042000000000000003	7.7581829867520285e-18
0.042999999999999997	7.7572312641280269e-18
0.043999999999999997	7.7562923919360237e-18
0.044999999999999998	7.7553663520000196e-18
0.045999999999999999	7.7544531261440153e-18
0.047	7.7535526961920099e-18
0.048000000000000001	7.7526650439680089e-18
0.049000000000000002	7.7517901512960052e-18
0.050000000000000003	7.750928000000038e-18
0.050999999999999997	7.7500785719040373e-18
0.051999999999999998	7.7492418488320329e-18
0.052999999999999999	7.7484178126080318e-18
0.053999999999999999	7.7476064450560284e-18
0.055	7.7468077280000236e-18
0.056000000000000001	7.7460216432640196e-18
0.057000000000000002	7.7452481726720139e-18
0.058000000000000003	7.744487298048012e-18
0.058999999999999997	7.7437390012160099e-18
0.059999999999999998	7.7430032640000299e-18
0.060999999999999999	7.7422800682240296e-18
0.062	7.7415693957120298e-18
0.063	7.7408712282880279e-18
0.064000000000000001	7.7401855477760249e-18
0.065000000000000002	7.7395123360000244e-18
0.066000000000000003	7.7388515747840241e-18
0.067000000000000004	7.7382032459520216e-18
0.068000000000000005	7.7375673313280192e-18
0.069000000000000006	7.7369438127360192e-18
0.070000000000000007	7.7363326719999913e-18
0.070999999999999994	7.7357338909439965e-18
0.071999999999999995	7.7351474513920031e-18
0.072999999999999995	7.7345733351680072e-18
0.073999999999999996	7.7340115240960125e-18
0.074999999999999997	7.7334620000000229e-18
0.075999999999999998	7.7329247447040298e-18
0.076999999999999999	7.7323997400320355e-18
0.078	7.7318869678080423e-18
0.079000000000000001	7.7313864098560477e-18
0.080000000000000002	7.7308980479999956e-18
0.081000000000000003	7.7304218640640005e-18
0.082000000000000003	7.7299578398720047e-18
0.083000000000000004	7.7295059572480104e-18
0.084000000000000005	7.7290661980160168e-18
0.085000000000000006	7.7286385440000262e-18
0.085999999999999993	7.728222977024033e-18
0.086999999999999994	7.7278194789120381e-18
0.087999999999999995	7.7274280314880452e-18
0.088999999999999996	7.7270486165760519e-18
0.089999999999999997	7.7266812160000297e-18
0.090999999999999998	7.7263258115840316e-18
