//3	4	0	0	0	0	0	0
//Energy[eV]	S(eps)
0	5.50E-02
0.25	5.50E-02
0.5	6.20E-02
0.75	7.10E-02
1	8.60E-02
1.25	1.06E-01
1.5	1.39E-01
1.75	1.90E-01
2	2.73E-01
2.25	4.05E-01
2.5	6.12E-01
2.75	8.30E-01
3	1.12E+00
3.25	1.23E+00
3.5	1.28E+00
3.75	1.29E+00
4	1.27E+00
4.25	1.22E+00
4.5	1.18E+00
4.75	1.14E+00
5	1.10E+00
5.25	1.06E+00
5.5	1.02E+00
5.75	9.90E-01
6	9.60E-01
6.25	9.30E-01
6.5	9.10E-01
6.75	8.90E-01
7	8.80E-01
7.5	8.80E-01
8	8.80E-01
8.5	8.80E-01
9	8.80E-01
10	8.80E-01
11	8.80E-01
12	0.88
13	0.88
15	0.88
17	0.88
20	0.88
22	0.88
25	0.88
27	0.88
30	0.88
32	0.88
35	0.88
40	0.88

