//3	4	1	1	0	0	0.0	0
//Energy[eV]	XS[cm2]
0	1.14E-16
1.00E-03	1.14E-16
2.00E-03	1.14E-16
3.00E-03	1.14E-16
4.00E-03	1.14E-16
5.00E-03	1.14E-16
6.00E-03	1.14E-16
7.00E-03	1.14E-16
8.00E-03	1.14E-16
9.00E-03	1.14E-16
1.00E-02	1.14E-16
1.50E-02	1.14E-16
2.00E-02	1.14E-16
3.00E-02	1.14E-16
4.00E-02	1.14E-16
5.00E-02	1.14E-16
6.00E-02	1.14E-16
7.00E-02	1.14E-16
8.00E-02	1.14E-16
9.00E-02	1.14E-16
1.00E-01	1.14E-16
1.50E-01	1.14E-16
2.00E-01	1.14E-16
3.00E-01	1.14E-16
4.00E-01	1.14E-16
5.00E-01	1.14E-16
5.60E-01	1.14E-16
6.00E-01	1.20E-16
7.00E-01	1.49E-16
8.00E-01	1.75E-16
9.00E-01	2.17E-16
1.00E+00	2.60E-16
1.50E+00	5.14E-16
1.65E+00	6.25E-16
2.00E+00	8.62E-16
3.00E+00	1.80E-15
3.80E+00	2.53E-15
4.00E+00	2.67E-15
5.00E+00	3.17E-15
6.00E+00	3.39E-15
7.00E+00	3.47E-15
8.00E+00	3.47E-15
9.50E+00	3.42E-15
1.05E+01	3.26E-15
1.15E+01	3.14E-15
1.20E+01	3.08E-15
1.40E+01	2.83E-15
1.60E+01	2.57E-15
1.80E+01	2.36E-15
2.00E+01	2.20E-15
2.20E+01	2.20E-15
2.50E+01	2.20E-15
3.00E+01	2.20E-15
3.50E+01	2.20E-15
4.00E+01	2.20E-15

