//1	2	1	0	0	1	0	0.0
//Borisova's compilation:
//Our Data: 0.49 at 128nm,
//V.M. Gehman et al., 2013 JINST 8 P04024
//C.H. Lally et al., Nucl. Instr. Meth. B 117 (1996) 421
//R. Francini et al., Eprint arXiv:1304.6117, 2013 422
//R. Francini et al., Eprint arXiv:1304.6117, 2013 445
//Wavelength [nm]	TPB efficeincy
128	0.49
140	0.49
150	0.46
160	0.44
170	0.45512
180	0.44469
190	0.45668
200	0.44521
210	0.43479
220	0.43896
230	0.44313
240	0.46137
250	0.50569
260	0.57763
270	0.65114
280	0.64905
290	0.59588
300	0.51716
310	0.45355
320	0.4082
330	0.38787
340	0.38787
350	0.38943
360	0.391
370	0.391
380	0.391
390	0.38675
400	0.374
 
