//1	2	1	0	0	1	0	0.0
//WLS emission spectrum, taken from Borisova, which in turn should be from
//Gehman2013 https://doi.org/10.1088/1748-0221/8/04/P04024
//NOT NORMALIZED!
//Wavelength [nm]	Spectral density [nm-1]
300	0
367.37589	0
374.46809	0.03261
376.24113	0.04891
379.78723	0.09375
382.62411	0.17527
385.8156	0.30163
389.3617	0.47283
392.19858	0.68071
395.03546	0.9212
398.58156	1.12908
401.77305	1.36141
404.96454	1.58967
407.80142	1.80978
410.99291	2.04212
414.1844	2.27853
416.66667	2.48641
420.21277	2.66576
423.04965	2.83288
426.59574	2.97147
429.78723	3.07745
432.62411	3.15897
435.8156	3.19973
439.00709	3.21196
442.9078	3.21603
445.03546	3.19158
447.87234	3.15082
448.22695	3.13043
451.41844	3.06929
454.25532	3.01223
457.44681	2.91033
460.28369	2.8288
463.82979	2.70652
466.66667	2.58832
469.85816	2.48234
473.40426	2.36821
476.24113	2.23777
479.43262	2.11141
482.97872	1.99728
485.46099	1.85054
488.29787	1.73234
491.84397	1.61005
495.03546	1.51223
498.22695	1.42255
501.41844	1.33696
504.60993	1.24728
507.44681	1.16984
510.6383	1.09239
514.1844	1.01495
516.66667	0.92935
520.21277	0.85598
523.04965	0.79484
527.30496	0.72962
529.43262	0.67663
532.2695	0.62364
535.46099	0.57473
538.65248	0.52582
541.84397	0.4769
545.03546	0.45245
547.87234	0.41168
550.35461	0.38315
554.25532	0.35054
557.44681	0.32201
560.28369	0.30163
566.66667	0.26495
572.34043	0.22826
578.7234	0.18342
585.46099	0.16304
588.29787	0.14266
597.87234	0.12228
603.90071	0.11005
610.28369	0.0856
616.31206	0.07337
619.50355	0.06114
625.88652	0.05707
631.91489	0.04891
641.13475	0.05299
644.32624	0.07745
647.51773	0.04891
650.70922	0.02853
657.44681	0.02446
669.14894	0.02446
707.44681	0.02038
 
