Vgem[V]	Emax[V/cm]	E at hole center[V/cm]
20	6728.22	3414.38
30	6730.3	4762.58
40	6732.38	6110.79
50	7794.79	7459
60	9066.27	8807.2
70	10355	10155.4
80	11677.6	11503.6
90	13013.1	12851.8
100	14349.4	14200
110	15686.3	15548.2
120	17023.2	16896.4
130	18360.1	18244.6
140	19697	19592.9
150	21033.9	20941.1
160	22370.8	22289.3
176	24509.8	24446.4
190	26400.3	26333.9
210	29103.5	29030.3
220	30455.1	30378.5
240	33158.3	33074.9
265	36537.2	36445.4
280	38564.6	38467.7
309	42484.2	42377.5
315	43295.2	43186.5
330	45322.5	45208.8
353	48431.2	48309.7
370	50728.9	50601.6
397	54378.2	54241.8
420	57486.8	57342.6
441	60325.2	60173.9
460	62893.2	62735.5
485	66272.1	66106
505	68975.3	68802.4
529	72219.1	72038.1
550	75057.5	74869.3
572	78030.9	77835.4
599	81680.2	81475.5
618	84248.2	84037.1
640	87221.7	87003.2
660	89924.9	89699.6
680	92628.1	92396
700	95331.3	95092.4
730	99386	99137
760	103441	103182
790	107496	107226
810	110199	109923
840	114253	113967
870	118308	118012
900	122363	122057
